number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,1.2016576020317145,2026-04-14 00:29:24.589618,2026-04-14 00:29:26.081913,0 days 00:00:01.492295,0.6595832917453639,0.026849224748604354,3,382,0.028238255909716757,0.5870866227731822,0.7847988649080211,COMPLETE
1,1.1180020417924308,2026-04-14 00:29:26.081913,2026-04-14 00:29:35.672576,0 days 00:00:09.590663,0.774895933952301,0.2959035409272419,7,798,0.002491633209516858,0.00012838155502405908,0.9897817084138527,COMPLETE
2,1.1243952968673847,2026-04-14 00:29:35.672576,2026-04-14 00:29:41.960666,0 days 00:00:06.288090,0.7294425207199247,0.013699422450188408,6,433,0.0005332428065700514,3.3977245857393656,0.9064282046866531,COMPLETE
3,1.1067559568899858,2026-04-14 00:29:41.960666,2026-04-14 00:29:48.750073,0 days 00:00:06.789407,0.7093334221619005,0.018475717449651784,6,483,0.004282464542065037,3.40438187633379,0.850409778657547,COMPLETE
4,1.0766688214646445,2026-04-14 00:29:48.750073,2026-04-14 00:30:16.396252,0 days 00:00:27.646179,0.5819366896937714,0.029896575928926666,8,851,0.02853452767491996,0.015895021689024298,0.962724950137517,COMPLETE
5,1.159140949137156,2026-04-14 00:30:16.396252,2026-04-14 00:30:18.275824,0 days 00:00:01.879572,0.5058480670600225,0.02358173058211796,4,433,0.0031517522071668014,7.1505947650919675,0.6408370442449604,COMPLETE
6,1.0846184678443203,2026-04-14 00:30:18.275824,2026-04-14 00:31:12.044054,0 days 00:00:53.768230,0.7957112099624531,0.014742072503293761,10,938,2.7588414863742416,0.00032070806468025665,0.6091493409840562,COMPLETE
7,1.143551548971466,2026-04-14 00:31:12.044054,2026-04-14 00:31:14.022598,0 days 00:00:01.978544,0.5656010639636315,0.16480792121815538,3,620,0.0832417534353973,0.00012265563989024073,0.6633279436099835,COMPLETE
8,1.219228553682631,2026-04-14 00:31:14.024154,2026-04-14 00:31:14.725945,0 days 00:00:00.701791,0.6800554285620511,0.05231384324259506,3,183,0.011187352794297232,0.49657017850723895,0.5626290437586963,COMPLETE
9,1.0940185850839608,2026-04-14 00:31:14.725945,2026-04-14 00:31:20.163447,0 days 00:00:05.437502,0.8415225303619758,0.08249437059457669,8,183,7.006693862314887,0.001268189656508847,0.5533041476042512,COMPLETE
10,1.0911295816006243,2026-04-14 00:31:20.163447,2026-04-14 00:32:09.362113,0 days 00:00:49.198666,0.9504565601083876,0.05036556363413556,10,961,0.30276090297918085,0.011522049463407708,0.9456504139842592,COMPLETE
11,1.0799715606806612,2026-04-14 00:32:09.362113,2026-04-14 00:33:23.327559,0 days 00:01:13.965446,0.8737331154892657,0.010860540758411514,10,962,1.4203497249579842,0.011640954986782288,0.7164757667924694,COMPLETE
12,1.0789736027627042,2026-04-14 00:33:23.327559,2026-04-14 00:34:09.558536,0 days 00:00:46.230977,0.908075409509833,0.010673922210971767,9,749,0.6378969007962991,0.018897133241316845,0.7313019506556794,COMPLETE
13,1.0696656173323553,2026-04-14 00:34:09.558536,2026-04-14 00:34:41.765650,0 days 00:00:32.207114,0.9909572577846983,0.033140022907668855,8,723,0.26842655863651355,0.06234133086117674,0.7966235842349239,COMPLETE
14,1.0714314284521052,2026-04-14 00:34:41.765650,2026-04-14 00:35:08.646237,0 days 00:00:26.880587,0.6069460596152467,0.03283627245660011,8,743,0.14330789114728673,0.09185235628841484,0.8317416924498605,COMPLETE
15,1.0684750877250204,2026-04-14 00:35:08.646237,2026-04-14 00:35:26.606840,0 days 00:00:17.960603,0.9994036917916961,0.08941203518233043,7,648,0.1641891019661845,0.1517978345437005,0.8253339489526346,COMPLETE
16,1.097511881846917,2026-04-14 00:35:26.606840,2026-04-14 00:35:31.674008,0 days 00:00:05.067168,0.9977126724050416,0.10112442938799963,5,607,0.0001705850395088775,0.1767498747854032,0.798410783424469,COMPLETE
17,1.0709889437130522,2026-04-14 00:35:31.674008,2026-04-14 00:35:50.191582,0 days 00:00:18.517574,0.9993333109734871,0.08361613913891394,7,676,0.0931170712420622,0.002681866425292189,0.8827551600737683,COMPLETE
18,1.107842417147401,2026-04-14 00:35:50.191582,2026-04-14 00:35:53.127023,0 days 00:00:02.935441,0.9078246230632699,0.14145418803489682,5,325,0.5474651291195924,0.08203971766510416,0.7643579294826661,COMPLETE
19,1.0834176931855466,2026-04-14 00:35:53.127023,2026-04-14 00:36:11.151024,0 days 00:00:18.024001,0.9462890941945309,0.0386867651457654,9,558,8.089316674408671,0.8482086227069449,0.6969239743294069,COMPLETE
20,1.0905868731891102,2026-04-14 00:36:11.151024,2026-04-14 00:36:29.697983,0 days 00:00:18.546959,0.823794331048752,0.07235404515264518,7,854,1.6370169471133023,0.043581346761245816,0.8281374442017372,COMPLETE
21,1.0900627152612634,2026-04-14 00:36:29.697983,2026-04-14 00:36:47.245817,0 days 00:00:17.547834,0.9974349514895846,0.12989747610874908,7,678,0.1697339639113723,0.002851451582882912,0.8845967328997483,COMPLETE
22,1.0858611763902546,2026-04-14 00:36:47.245817,2026-04-14 00:36:57.085580,0 days 00:00:09.839763,0.9489909234033904,0.07088340895448167,6,660,0.09504537633533941,0.002932359882217573,0.893230509115768,COMPLETE
23,1.0973067385617448,2026-04-14 00:36:57.085580,2026-04-14 00:37:14.433761,0 days 00:00:17.348181,0.994989404286552,0.19087201478385776,8,541,0.04052555904763904,0.25176942625902776,0.8609972728448797,COMPLETE
24,1.083529844228706,2026-04-14 00:37:14.433761,2026-04-14 00:37:55.671467,0 days 00:00:41.237706,0.8925025725076239,0.042300366991292214,9,712,0.3003867750150222,0.003941181490525175,0.9311295176926859,COMPLETE
25,1.091401401674001,2026-04-14 00:37:55.671467,2026-04-14 00:38:11.436670,0 days 00:00:15.765203,0.950197607353972,0.09130034594923535,7,798,0.0147544016108114,0.0005168764570350145,0.5005609096873043,COMPLETE
26,1.082621962165141,2026-04-14 00:38:11.436670,2026-04-14 00:38:16.133074,0 days 00:00:04.696404,0.8702899589525959,0.06262078292814159,5,559,0.0597905606451029,0.04312004520025295,0.8090192712397207,COMPLETE
27,1.1054712127023885,2026-04-14 00:38:16.133074,2026-04-14 00:38:40.182793,0 days 00:00:24.049719,0.9616479344080345,0.1008963972044553,8,868,0.5967118421479276,0.1685632774552382,0.7577709740625895,COMPLETE
28,1.1162602537591193,2026-04-14 00:38:40.182793,2026-04-14 00:38:50.457851,0 days 00:00:10.275058,0.9303690226891709,0.20054215487643534,6,636,0.25439589548137315,0.004776457914820189,0.8674221025157506,COMPLETE
29,1.0826518825944502,2026-04-14 00:38:50.457851,2026-04-14 00:39:17.265646,0 days 00:00:26.807795,0.8495909228250628,0.022634943196018078,9,499,0.017863292908628786,0.6709948998941659,0.7828577400434318,COMPLETE
30,1.0655176495418999,2026-04-14 00:39:17.265646,2026-04-14 00:39:40.504596,0 days 00:00:23.238950,0.9787394674610244,0.04218594196419511,7,782,1.1787484634801495,0.000914712898054584,0.9038702167449721,COMPLETE
